base,c1,scale,world_cup_matches,euro_matches,pooled_matches,world_cup_log_loss,euro_log_loss,pooled_log_loss,world_cup_brier_score,euro_brier_score,pooled_brier_score,world_cup_goal_difference_mae,euro_goal_difference_mae,pooled_goal_difference_mae,world_cup_predicted_avg_total_goals,euro_predicted_avg_total_goals,pooled_predicted_avg_total_goals,world_cup_actual_avg_total_goals,euro_actual_avg_total_goals,pooled_actual_avg_total_goals,world_cup_total_goal_error,euro_total_goal_error,pooled_total_goal_error,world_cup_abs_total_goal_error,euro_abs_total_goal_error,pooled_abs_total_goal_error
1.4,1.1,600.0,881,289,1170,0.9845381180403564,1.0353068126246183,0.9970784195231347,0.5850785180976215,0.6221807932286877,0.5942430971684568,1.3590381963390086,1.161774195592849,1.3103123021376069,2.8,2.8,2.8,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.030874006810442722,0.3951557093425606,0.0743589743589741,0.030874006810442722,0.3951557093425606,0.0743589743589741
1.4,1.2,500.0,881,289,1170,0.9806788028771699,1.0362582372953097,0.9944073982163505,0.5794515171040747,0.6225217787810625,0.590090239860187,1.3542098212213394,1.1777009462034602,1.3106106204690597,2.800691978864018,2.800311012346021,2.8005978768779487,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.03018202794642466,0.39546672168858166,0.07495685123692297,0.03018202794642466,0.39546672168858166,0.07495685123692297
1.4,1.2,550.0,881,289,1170,0.980571812253383,1.0350849225221497,0.9940370164137872,0.5809377661076781,0.6219021059166003,0.5910563081630428,1.3534422114894231,1.1703760402290029,1.308223302519969,2.8001583877436795,2.8,2.8001192646172495,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.03071561906676301,0.3951557093425606,0.07447823897622374,0.03071561906676301,0.3951557093425606,0.07447823897622374
1.4,1.2,600.0,881,289,1170,0.981980866063099,1.0347780431968059,0.9950222200730481,0.5827968723574865,0.6217959369536312,0.5924299746380725,1.3550165605811577,1.1657857534809688,1.3082749338700854,2.8,2.8,2.8,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.030874006810442722,0.3951557093425606,0.0743589743589741,0.030874006810442722,0.3951557093425606,0.0743589743589741
1.4,1.25,500.0,881,289,1170,0.9807808738527414,1.0371500225290058,0.9947045353633741,0.5789933593852711,0.623020574317852,0.5898684577746011,1.3552942668473325,1.1822955547750866,1.3125621063440172,2.801166164458002,2.800496981574394,2.801000870566239,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.029707842352440395,0.3956526909169549,0.07535984492521308,0.029707842352440395,0.3956526909169549,0.07535984492521308
1.4,1.25,550.0,881,289,1170,0.9804795168732473,1.0354958138680967,0.9940690124557338,0.5802327666196103,0.6221059457164212,0.5905757997469442,1.3535916091244453,1.1730525984586349,1.308996930421523,2.800335248299969,2.8000743242371815,2.8002707978263404,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.030538758510473496,0.3952300335797423,0.07462977218531464,0.030538758510473496,0.3952300335797423,0.07462977218531464
1.4,1.25,600.0,881,289,1170,0.9811597297624663,1.0348021548045292,0.9944098672301218,0.5818744769826664,0.6217778639446172,0.5917309546168563,1.3539720264093833,1.1677915324250288,1.3079838531089742,2.800020290503216,2.8,2.8000152785754984,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.030853716307226442,0.3951557093425606,0.07437425293447264,0.030853716307226442,0.3951557093425606,0.07437425293447264
1.4,1.3,500.0,881,289,1170,0.9807919245405772,1.038303370209774,0.9949977431716861,0.5786628876869261,0.6236668075081481,0.5897792405316548,1.3571273182885357,1.1874133673550173,1.3152065218613676,2.801847257275596,2.800682950802768,2.80155966362547,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.02902674953484663,0.395838660145329,0.07591863798444409,0.02902674953484663,0.395838660145329,0.07591863798444409
1.4,1.3,550.0,881,289,1170,0.9805936372024756,1.0359980705465608,0.9942790057806297,0.5796530873032625,0.6223776730306922,0.5902064251453367,1.3540062646837272,1.1761377078276187,1.3100712108961927,2.8005624315399853,2.800243387172067,2.8004836248542344,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.030311575270457247,0.3953990965146277,0.07484259921320868,0.030311575270457247,0.3953990965146277,0.07484259921320868
1.4,1.3,600.0,881,289,1170,0.9806322204925176,1.0350232324467588,0.9940672653256594,0.5810706194405844,0.6218728730379678,0.5911491248163473,1.3534959494424896,1.1699618083079586,1.3081614479143875,2.8001289109842977,2.8,2.8000970688693734,2.8308740068104425,2.404844290657439,2.7256410256410257,-0.03074509582614482,0.3951557093425606,0.07445604322834765,0.03074509582614482,0.3951557093425606,0.07445604322834765
